################################################################################
# Energy vs. volume comparison.
################################################################################
# Col  Name        Description
################################################################################
# 1    V_atom      Volume per atom.
# 2    Eref_atom   Reference energy per atom.
# 3    N           Number of atoms.
# 4    V           Volume of structure.
# 5    Eref        Reference energy of structure.
# 6    Eref_offset Reference energy of structure (including offset).
###############################################################################################
#              1                2          3                4                5                6
#         V_atom        Eref_atom          N                V             Eref      Eref_offset
###############################################################################################
  9.45013157E+00  -5.23537536E+00        168   1.58762210E+03  -8.79543061E+02  -3.14591431E+04
  9.45013157E+00  -5.08243802E+00        168   1.58762210E+03  -8.53849587E+02  -3.14334496E+04
  9.45013157E+00  -4.77558090E+00        168   1.58762210E+03  -8.02297591E+02  -3.13818976E+04
  9.45013157E+00  -5.39258461E+00        168   1.58762210E+03  -9.05954215E+02  -3.14855542E+04
  9.45013157E+00  -4.19656803E+00        168   1.58762210E+03  -7.05023429E+02  -3.12846234E+04
  9.45013157E+00  -5.60468936E+00        168   1.58762210E+03  -9.41587813E+02  -3.15211878E+04
  9.45013157E+00  -4.47076849E+00        168   1.58762210E+03  -7.51089107E+02  -3.13306891E+04
  9.45013157E+00  -5.59685425E+00        168   1.58762210E+03  -9.40271513E+02  -3.15198715E+04
  9.45013157E+00  -5.35269095E+00        168   1.58762210E+03  -8.99252080E+02  -3.14788521E+04
  9.45013157E+00  -4.84288146E+00        168   1.58762210E+03  -8.13604086E+02  -3.13932041E+04
  9.45013157E+00  -6.51161823E+00        168   1.58762210E+03  -1.09395186E+03  -3.16735519E+04
  9.45013157E+00  -4.92846924E+00        168   1.58762210E+03  -8.27982832E+02  -3.14075828E+04
  9.45013157E+00  -5.84256788E+00        168   1.58762210E+03  -9.81551403E+02  -3.15611514E+04
  9.45013157E+00  -5.10367024E+00        168   1.58762210E+03  -8.57416601E+02  -3.14370166E+04
  9.45013157E+00  -5.44361303E+00        168   1.58762210E+03  -9.14526989E+02  -3.14941270E+04
  9.45013157E+00  -5.47017648E+00        168   1.58762210E+03  -9.18989648E+02  -3.14985896E+04
  9.45013157E+00  -5.29565562E+00        168   1.58762210E+03  -8.89670144E+02  -3.14692701E+04
  9.45013157E+00  -6.19529997E+00        168   1.58762210E+03  -1.04081039E+03  -3.16204104E+04
  9.45013157E+00  -5.89951622E+00        168   1.58762210E+03  -9.91118725E+02  -3.15707187E+04
  9.45013157E+00  -5.50511818E+00        168   1.58762210E+03  -9.24859854E+02  -3.15044599E+04
  9.45013157E+00  -5.00870619E+00        168   1.58762210E+03  -8.41462640E+02  -3.14210626E+04
  9.45013157E+00  -6.06734869E+00        168   1.58762210E+03  -1.01931458E+03  -3.15989146E+04
  9.45013157E+00  -5.17710689E+00        168   1.58762210E+03  -8.69753958E+02  -3.14493540E+04
  9.45013157E+00  -3.45293677E+00        168   1.58762210E+03  -5.80093378E+02  -3.11596934E+04
  9.45013157E+00  -5.21543346E+00        168   1.58762210E+03  -8.76192822E+02  -3.14557928E+04
  9.45013157E+00  -4.70480493E+00        168   1.58762210E+03  -7.90407229E+02  -3.13700072E+04
  9.45013157E+00  -5.02714515E+00        168   1.58762210E+03  -8.44560385E+02  -3.14241604E+04
  9.45013157E+00  -4.44331039E+00        168   1.58762210E+03  -7.46476146E+02  -3.13260761E+04
