################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         2         56       9903  -2.79442330E-01   2.36469289E-01  -4.58922225E-15   8.05695111E-02
         2         57       9903  -2.34925963E-01   2.92997670E-01   1.20840315E-15   8.31655677E-02
         2         58       9903  -4.58370580E-01   6.43072924E-01  -2.93093049E-15   1.99545785E-01
         2         59       9903  -2.41853131E-01   2.13679481E-01   2.64721991E-15   7.43636645E-02
         2         60       9903  -1.83929805E-01   1.45307956E-01  -2.04721404E-15   5.08180104E-02
         2         61       9903  -1.30890940E+00   9.37703868E-01   2.85711742E-16   3.58764822E-01
         2         62       9903  -4.49592069E-01   3.07334908E-01   7.13556807E-15   1.47510079E-01
         2         63       9903  -5.80700695E-01   9.93495103E-01  -2.11746762E-15   2.75513476E-01
         2         64       9903  -4.41587009E-01   4.29506575E-01  -1.75960274E-15   1.15726291E-01
         2         65       9903  -3.66500979E-01   5.23824029E-01   2.15110616E-16   1.80699920E-01
         2         66       9903  -9.27698319E-01   8.02165132E-01  -7.59266762E-15   2.79600522E-01
         2         67       9903  -1.43540496E-01   1.00261263E-01   2.61122566E-15   5.73178036E-02
         2         68       9903  -3.46641521E-01   3.30792853E-01  -3.17850249E-15   1.20339930E-01
         2         69       9903  -3.95993834E-01   6.41712914E-01  -2.18366844E-15   1.59986321E-01
         2         70       9903  -3.53580447E-01   3.86845224E-01   4.64362439E-15   9.56482511E-02
         2         71       9903  -3.44835885E-01   2.84004990E-01  -2.71017515E-15   9.01591975E-02
         2         72       9903  -4.58667117E-01   5.87879541E-01  -2.27128783E-16   1.68858877E-01
         2         73       9903  -2.60738515E-01   1.53120326E-01  -1.96000105E-15   8.76796520E-02
         2         74       9903  -6.82999856E-01   8.06506953E-01   1.72613166E-15   2.50561989E-01
         2         75       9903  -9.07807182E-01   6.24342723E-01  -3.44328334E-16   2.35825730E-01
         2         76       9903  -6.01132743E-01   8.20315558E-01  -2.73158251E-15   2.30442663E-01
         2         77       9903  -2.81919942E-01   1.51375369E-01  -4.30074858E-15   8.09583231E-02
         2         78       9903  -1.19143765E+00   7.76763920E-01  -2.53919654E-15   3.29493511E-01
         2         79       9903  -5.63751082E-01   4.41789290E-01   9.20272643E-16   1.65937321E-01
         2         80       9903  -2.81677441E-01   4.36390931E-01  -2.09483827E-15   1.38644854E-01
         2         81       9903  -1.10321452E+00   6.72060582E-01   2.12975485E-15   2.75449365E-01
         2         82       9903  -4.45201882E-01   3.93972558E-01   1.37882121E-15   1.38974115E-01
         2         83       9903  -2.45125095E-01   1.50752242E-01  -4.43992585E-15   7.32442613E-02
         2         84       9903  -5.53433588E-01   7.52006993E-01  -7.38778141E-16   2.03837160E-01
         2         85       9903  -7.17142840E-01   5.05373543E-01   2.30033547E-15   1.78354880E-01
         2         86       9903  -4.83805743E-01   3.73400142E-01  -1.57856718E-15   1.49400714E-01
         2         87       9903  -5.30162165E-01   4.22093328E-01  -2.79413976E-16   1.20547274E-01
         2         88       9903  -3.17781412E-01   3.34804657E-01  -3.46262227E-15   1.11904435E-01
         2         89       9903  -4.58352754E-01   6.11210492E-01  -1.53685114E-15   1.85285344E-01
         2         90       9903  -3.19022157E-01   2.62373498E-01   1.08325782E-15   8.26974601E-02
         2         91       9903  -6.76964834E-01   8.88868761E-01  -1.79625632E-15   2.89357591E-01
         2         92       9903  -3.42066541E-01   3.55760489E-01   3.95248590E-16   1.07101594E-01
         2         93       9903  -4.81036646E-01   6.02393561E-01  -3.47782387E-03   2.45286681E-01
         2         94       9903  -8.50791931E-01   6.50159326E-01   1.09725008E-03   2.46435562E-01
         2         95       9903  -2.71416471E-01   2.64520493E-01  -8.40861233E-04   7.75303230E-02
         2         96       9903  -8.20997021E-01   5.91070173E-01   4.32418588E-03   2.44289455E-01
         2         97       9903  -1.83693034E-01   3.00564554E-01   2.01639962E-04   1.08283734E-01
         2         98       9903  -6.61671179E-01   7.27068635E-01  -2.57227156E-03   2.36805180E-01
         2         99       9903  -6.49583574E-01   4.83240198E-01   2.53035163E-04   2.27599783E-01
         2        100       9903  -2.31903820E-01   4.43535812E-01   1.15748869E-03   1.17127297E-01
         2        101       9903  -1.65186196E-01   2.02751355E-01   6.46674609E-04   5.36317247E-02
         2        102       9903  -2.96222701E-01   3.28487258E-01  -1.73358498E-03   9.14871311E-02
         2        103       9903  -3.21160374E-01   4.27465403E-01  -2.28052667E-03   1.30459506E-01
         2        104       9903  -9.32605987E-01   7.27986304E-01   1.43920521E-03   2.75789131E-01
         2        105       9903  -3.29870377E-01   3.04880414E-01  -1.20463963E-03   9.75515885E-02
         2        106       9903  -2.38301457E-01   3.83692423E-01  -2.68648904E-03   9.75713050E-02
         2        107       9903  -2.66949038E-01   2.29802967E-01   1.03586422E-03   9.41005200E-02
         2        108       9903  -4.54110724E-01   2.40336262E-01   1.40034132E-03   1.55092571E-01
         2        109       9903  -2.60011514E-01   2.12391390E-01   2.89268048E-05   7.08413291E-02
         2        110       9903  -5.36258190E-01   3.80138963E-01   1.95446699E-03   1.51621802E-01
         2        111       9903  -1.88569751E-01   1.93956910E-01  -7.90344061E-04   5.47869905E-02
         2        112       9903  -3.20642948E-01   3.14986146E-01  -1.20053594E-03   1.12555274E-01
         2        113       9903  -1.74586681E-01   2.70663664E-01  -9.62442375E-04   7.28514537E-02
