################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.0962514760021389E+00 a       478     0    10     1    28
  5.1447669660463760E+00 a       479     0    10     1    29
 -2.7570817567358219E+00 a       480     0    10     1    30
 -2.7866976804108528E+00 a       481     0    10     1    31
  3.9905217112765518E-01 a       482     0    10     1    32
  1.2119671887674244E-01 a       483     0    10     1    33
  4.5468581611547965E-01 a       484     0    10     1    34
 -1.5442948349168779E+00 a       485     0    10     1    35
  5.0138645812113380E-01 a       486     0    10     1    36
 -1.2672422922822431E+00 a       487     0    10     1    37
  3.6252707240010857E+00 a       488     0    10     1    38
 -2.8343316235492737E+00 a       489     0    10     1    39
  6.8893285586913144E+00 a       490     0    10     1    40
  5.8889105048118848E+00 a       491     0    10     1    41
 -9.6082432227550019E+00 a       492     0    10     1    42
 -3.8794707329639451E+00 a       493     0    10     1    43
  6.4332142256997500E+00 a       494     0    10     1    44
 -5.8377713630922754E+00 a       495     0    10     1    45
 -3.0849810920224441E-01 a       496     0    10     1    46
 -3.9108133816237572E-01 a       497     0    10     1    47
  2.7512371416229553E-01 a       498     0    10     1    48
  2.4235258143630314E+00 a       499     0    10     1    49
 -2.9855376281976143E+00 a       500     0    10     1    50
  2.2825892777279821E+00 a       501     0    11     1     1
  7.2575389020125529E+00 a       502     0    11     1     2
